scenario_id,category,theta,rho,alpha,n_reps,mean_true_partitions,rhizaeon_detection_pct,three_seq_detection_pct,rhizaeon_mean_spatial_err_nt,rhizaeon_mean_time_ms,three_seq_mean_time_ms
power_theta10_rho0,power,10.0,0.0,inf,100,1.0,0.0,0.0,-1.0,6.88,61.43
power_theta10_rho1,power,10.0,1.0,inf,100,3.58,1.0,1.0,256.91,6.81,36.56
power_theta10_rho4,power,10.0,4.0,inf,100,12.1,7.0,13.0,244.06,6.84,29.81
power_theta10_rho16,power,10.0,16.0,inf,100,44.17,8.0,10.0,262.79,6.53,24.81
power_theta10_rho64,power,10.0,64.0,inf,100,164.47,6.0,9.0,252.98,6.73,31.17
power_theta50_rho0,power,50.0,0.0,inf,100,1.0,2.0,0.0,-1.0,7.67,39.82
power_theta50_rho1,power,50.0,1.0,inf,100,4.08,21.0,36.0,147.64,9.39,36.56
power_theta50_rho4,power,50.0,4.0,inf,100,11.56,51.0,77.0,202.29,11.13,45.51
power_theta50_rho16,power,50.0,16.0,inf,100,44.82,78.0,94.0,159.58,13.29,36.87
power_theta50_rho64,power,50.0,64.0,inf,100,165.6,91.0,100.0,149.7,14.67,34.36
power_theta100_rho0,power,100.0,0.0,inf,100,1.0,1.0,2.0,-1.0,8.21,41.47
power_theta100_rho1,power,100.0,1.0,inf,100,3.84,28.0,47.0,194.43,9.91,38.62
power_theta100_rho4,power,100.0,4.0,inf,100,12.17,57.0,84.0,185.61,11.77,61.52
power_theta100_rho16,power,100.0,16.0,inf,100,44.9,87.0,99.0,139.46,14.04,36.8
power_theta100_rho64,power,100.0,64.0,inf,100,164.47,97.0,100.0,111.99,16.1,36.38
power_theta200_rho0,power,200.0,0.0,inf,100,1.0,1.0,1.0,-1.0,8.41,41.99
power_theta200_rho1,power,200.0,1.0,inf,100,3.57,33.0,45.0,156.09,10.9,44.41
power_theta200_rho4,power,200.0,4.0,inf,100,12.14,57.0,87.0,191.46,11.52,68.29
power_theta200_rho16,power,200.0,16.0,inf,100,45.49,89.0,100.0,139.11,14.57,39.43
power_theta200_rho64,power,200.0,64.0,inf,100,160.6,100.0,100.0,96.96,16.49,38.61
fp_theta10_alpha2p0,false_positive,10.0,0.0,2.0,100,1.0,0.0,0.0,-1.0,7.92,33.3
fp_theta10_alpha0p5,false_positive,10.0,0.0,0.5,100,1.0,0.0,0.0,-1.0,7.86,33.42
fp_theta10_alpha0p05,false_positive,10.0,0.0,0.05,100,1.0,0.0,0.0,-1.0,7.64,33.15
fp_theta50_alpha2p0,false_positive,50.0,0.0,2.0,100,1.0,1.0,0.0,-1.0,8.15,32.2
fp_theta50_alpha0p5,false_positive,50.0,0.0,0.5,100,1.0,3.0,0.0,-1.0,8.33,33.04
fp_theta50_alpha0p05,false_positive,50.0,0.0,0.05,100,1.0,2.0,0.0,-1.0,8.68,33.61
fp_theta100_alpha2p0,false_positive,100.0,0.0,2.0,100,1.0,1.0,0.0,-1.0,8.36,35.86
fp_theta100_alpha0p5,false_positive,100.0,0.0,0.5,100,1.0,4.0,0.0,-1.0,9.1,39.08
fp_theta100_alpha0p05,false_positive,100.0,0.0,0.05,100,1.0,3.0,0.0,-1.0,8.89,31.81
fp_theta200_alpha2p0,false_positive,200.0,0.0,2.0,100,1.0,0.0,2.0,-1.0,8.28,36.61
fp_theta200_alpha0p5,false_positive,200.0,0.0,0.5,100,1.0,5.0,0.0,-1.0,8.09,34.44
fp_theta200_alpha0p05,false_positive,200.0,0.0,0.05,100,1.0,5.0,1.0,-1.0,8.89,32.32
