global_idx,scenario_id,category,rep_idx,seed,n_taxa,length_nt,theta,rho,beta,alpha,is_recombinant,num_true_trees,num_true_bps,segregating_sites,informative_sites,rhiz_detected,rhiz_num_bps,rhiz_bps,rhiz_time_ms,phi_p_val,phi_detected,maxchi_p_val,maxchi_detected,nss_p_val,nss_detected,phi_suite_time_ms,three_p_val,three_detected,three_time_ms,total_time_ms
0,power_n10_th5_rho1,power,0,20060801,10,1000,5.0,1.0,0.0,inf,True,3,2,7,3,False,0,,3.91,1.0,False,1.0,False,1.0,False,30.82,1.0,False,54.42,101.95
1,power_n10_th5_rho1,power,1,20068720,10,1000,5.0,1.0,0.0,inf,True,2,1,11,7,False,0,,5.64,1.0,False,0.856,False,1.0,False,21.94,1.0,False,58.87,101.68
2,power_n10_th5_rho1,power,2,20076639,10,1000,5.0,1.0,0.0,inf,True,4,3,21,8,False,0,,5.74,0.282,False,0.954,False,0.489,False,26.05,1.0,False,55.01,98.87
3,power_n10_th5_rho1,power,3,20084558,10,1000,5.0,1.0,0.0,inf,True,5,4,6,6,False,0,,2.66,1.0,False,1.0,False,1.0,False,31.51,1.0,False,54.32,101.17
4,power_n10_th5_rho1,power,4,20092477,10,1000,5.0,1.0,0.0,inf,True,5,4,20,13,False,0,,5.43,1.0,False,0.636,False,1.0,False,29.68,1.0,False,53.34,103.36
5,power_n10_th5_rho1,power,5,20100396,10,1000,5.0,1.0,0.0,inf,True,6,5,12,5,False,0,,5.48,1.0,False,0.304,False,1.0,False,24.04,1.0,False,59.84,102.56
6,power_n10_th5_rho1,power,6,20108315,10,1000,5.0,1.0,0.0,inf,True,2,1,19,14,False,0,,5.61,0.274,False,0.399,False,0.026,True,31.04,1.0,False,53.07,103.19
7,power_n10_th5_rho1,power,7,20116234,10,1000,5.0,1.0,0.0,inf,True,3,2,18,14,False,0,,5.42,1.0,False,0.967,False,1.0,False,29.24,1.0,False,50.97,99.99
8,power_n10_th5_rho1,power,8,20124153,10,1000,5.0,1.0,0.0,inf,True,2,1,33,8,False,0,,5.96,1.0,False,0.104,False,1.0,False,21.02,1.0,False,43.23,79.84
9,power_n10_th5_rho1,power,9,20132072,10,1000,5.0,1.0,0.0,inf,True,3,2,23,22,False,0,,6.76,0.0854,False,0.735,False,0.016,True,18.44,1.0,False,40.73,77.31
10,power_n10_th5_rho1,power,10,20139991,10,1000,5.0,1.0,0.0,inf,True,5,4,19,14,False,0,,6.62,0.274,False,0.991,False,0.067,False,16.37,1.0,False,42.85,75.59
11,power_n10_th5_rho1,power,11,20147910,10,1000,5.0,1.0,0.0,inf,True,2,1,10,4,False,0,,4.88,1.0,False,0.989,False,1.0,False,15.72,1.0,False,42.13,73.5
