category,n_taxa,theta,rho,beta,alpha,n_reps,mean_informative_sites,rhiz_rate,phi_rate,maxchi_rate,nss_rate,three_rate,mean_rhiz_ms,mean_phi_ms,mean_three_ms
null_constant,10,5.0,0.0,0.0,inf,50,8.5,0.0,0.0,2.0,0.0,0.0,4.91,29.08,38.13
null_constant,10,10.0,0.0,0.0,inf,50,17.4,0.0,0.0,4.0,0.0,0.0,6.14,32.79,55.37
null_constant,10,20.0,0.0,0.0,inf,50,34.3,0.0,0.0,10.0,2.0,0.0,6.83,39.89,38.26
null_constant,50,5.0,0.0,0.0,inf,50,18.5,0.0,0.0,4.0,0.0,0.0,40.01,178.11,131.83
null_constant,50,10.0,0.0,0.0,inf,50,35.1,0.0,2.0,2.0,2.0,0.0,36.45,321.5,192.53
null_constant,50,20.0,0.0,0.0,inf,50,69.7,8.0,0.0,0.0,0.0,0.0,36.49,595.13,312.62
null_gamma,10,10.0,0.0,0.0,0.5,50,16.8,0.0,0.0,2.0,0.0,0.0,5.85,31.76,35.53
null_gamma,10,10.0,0.0,0.0,2.0,50,17.8,0.0,0.0,0.0,0.0,0.0,6.04,32.53,34.76
null_gamma,10,20.0,0.0,0.0,0.5,50,36.3,0.0,0.0,0.0,2.0,0.0,6.59,38.98,36.62
null_gamma,10,20.0,0.0,0.0,2.0,50,30.7,0.0,0.0,2.0,6.0,0.0,6.37,39.48,36.2
null_gamma,50,10.0,0.0,0.0,0.5,50,33.1,0.0,2.0,8.0,2.0,0.0,37.02,289.58,179.37
null_gamma,50,10.0,0.0,0.0,2.0,50,32.4,0.0,0.0,2.0,0.0,0.0,35.94,304.25,184.4
null_gamma,50,20.0,0.0,0.0,0.5,50,63.4,6.0,0.0,6.0,2.0,0.0,35.73,530.69,286.17
null_gamma,50,20.0,0.0,0.0,2.0,50,62.8,4.0,2.0,12.0,4.0,0.0,35.57,538.33,287.92
null_growth,10,10.0,0.0,5.0,inf,50,6.2,0.0,0.0,0.0,0.0,0.0,5.26,29.64,37.56
null_growth,10,10.0,0.0,20.0,inf,50,2.8,0.0,0.0,0.0,0.0,0.0,3.89,27.71,38.05
null_growth,10,20.0,0.0,5.0,inf,50,11.6,0.0,0.0,2.0,0.0,0.0,6.26,32.0,37.18
null_growth,10,20.0,0.0,20.0,inf,50,5.2,0.0,0.0,0.0,0.0,0.0,6.1,30.03,43.35
null_growth,50,10.0,0.0,5.0,inf,50,15.9,0.0,0.0,2.0,0.0,0.0,37.7,178.05,126.98
null_growth,50,10.0,0.0,20.0,inf,50,8.9,0.0,0.0,4.0,0.0,0.0,34.1,126.98,104.89
null_growth,50,20.0,0.0,5.0,inf,50,32.6,6.0,0.0,4.0,2.0,0.0,35.95,340.16,199.36
null_growth,50,20.0,0.0,20.0,inf,50,17.5,0.0,0.0,6.0,0.0,0.0,36.46,220.92,144.85
power,10,5.0,1.0,0.0,inf,50,8.3,2.0,2.0,2.0,8.0,0.0,5.11,18.44,35.26
power,10,5.0,4.0,0.0,inf,50,9.2,8.0,16.0,6.0,20.0,2.0,5.79,17.68,26.95
power,10,5.0,16.0,0.0,inf,50,9.0,8.0,30.0,2.0,36.0,0.0,5.99,18.23,24.58
power,10,5.0,64.0,0.0,inf,50,8.6,4.0,30.0,0.0,34.0,0.0,5.6,18.28,28.36
power,10,10.0,1.0,0.0,inf,50,16.4,4.0,6.0,6.0,8.0,4.0,6.16,21.91,29.97
power,10,10.0,4.0,0.0,inf,50,16.0,24.0,22.0,16.0,24.0,8.0,6.75,21.59,25.85
power,10,10.0,16.0,0.0,inf,50,19.7,46.0,72.0,40.0,72.0,14.0,7.79,23.25,27.72
power,10,10.0,64.0,0.0,inf,50,17.0,28.0,68.0,24.0,74.0,6.0,7.52,27.58,65.7
power,10,20.0,1.0,0.0,inf,50,32.4,12.0,16.0,22.0,10.0,14.0,6.59,27.82,25.88
power,10,20.0,4.0,0.0,inf,50,32.8,38.0,52.0,52.0,48.0,36.0,7.45,29.04,27.85
power,10,20.0,16.0,0.0,inf,50,32.1,58.0,76.0,66.0,78.0,58.0,8.85,29.04,47.93
power,10,20.0,64.0,0.0,inf,50,30.6,72.0,94.0,76.0,94.0,68.0,10.36,59.34,52.0
power,50,5.0,1.0,0.0,inf,50,18.7,8.0,14.0,4.0,10.0,2.0,32.85,156.41,114.48
power,50,5.0,4.0,0.0,inf,50,16.9,4.0,22.0,6.0,26.0,0.0,32.32,153.34,113.92
power,50,5.0,16.0,0.0,inf,50,18.3,22.0,66.0,10.0,58.0,0.0,36.43,168.14,125.51
power,50,5.0,64.0,0.0,inf,50,18.1,10.0,74.0,2.0,46.0,0.0,36.68,163.51,124.78
power,50,10.0,1.0,0.0,inf,50,32.8,32.0,26.0,26.0,18.0,4.0,39.27,298.35,187.94
power,50,10.0,4.0,0.0,inf,50,35.0,40.0,74.0,30.0,48.0,6.0,39.72,306.72,186.39
power,50,10.0,16.0,0.0,inf,50,32.5,46.0,94.0,32.0,80.0,6.0,41.8,297.18,184.74
power,50,10.0,64.0,0.0,inf,50,33.7,62.0,100.0,22.0,82.0,2.0,42.85,313.34,193.3
power,50,20.0,1.0,0.0,inf,50,64.6,38.0,42.0,32.0,34.0,14.0,40.83,573.2,305.33
power,50,20.0,4.0,0.0,inf,50,67.4,68.0,90.0,64.0,76.0,48.0,45.38,603.19,323.12
power,50,20.0,16.0,0.0,inf,50,67.7,96.0,100.0,88.0,100.0,74.0,50.93,600.98,321.91
power,50,20.0,64.0,0.0,inf,50,65.4,96.0,100.0,80.0,100.0,68.0,50.74,578.22,315.89
