n_bps,d,m,replicates,rhizaeon_power,three_seq_power,rhizaeon_spatial_err_nt,rhizaeon_mean_ms,three_seq_mean_ms
0,10,0,50,0.0,0.0,0.0,4.38960672000011,53.78342498000016
0,10,1,50,0.0,0.0,0.0,4.342620740000029,51.843597540000026
0,10,2,50,0.0,0.0,0.0,4.851799220000074,68.56917086000003
0,10,3,50,0.0,0.0,0.0,5.122795840000017,87.42391001999995
0,20,0,50,0.0,0.0,0.0,5.815172439999792,50.33857919999988
0,20,1,50,0.0,0.0,0.0,5.707913319999953,54.35866496000003
0,20,2,50,0.02,0.0,0.0,5.88908171999993,49.672228340000046
0,20,3,50,0.0,0.0,0.0,6.0933832599999596,52.877822560000034
0,30,0,50,0.0,0.0,0.0,6.162676720000063,55.18669086000006
0,30,1,50,0.0,0.0,0.0,6.5189766199998544,51.17187912000011
0,30,2,50,0.0,0.0,0.0,6.186654159999919,50.386081640000036
0,30,3,50,0.0,0.0,0.0,6.089620000000053,58.42235579999988
0,50,0,50,0.0,0.0,0.0,6.765803319999898,44.436204099999834
0,50,1,50,0.0,0.0,0.0,6.931404139999733,50.92879837999987
0,50,2,50,0.0,0.0,0.0,6.820256659999943,47.770756599999906
0,50,3,50,0.0,0.0,0.0,6.5721616800001925,47.03903908000015
1,10,0,50,0.3,0.0,962.0,4.559088299999981,53.55307341999999
1,10,1,50,0.26,0.0,964.8461538461538,5.134573379999975,42.09285926
1,10,2,50,0.18,0.0,846.5555555555555,5.117322460000011,44.01344579999998
1,10,3,50,0.24,0.0,1481.5833333333333,6.125058360000013,46.25786080000002
1,20,0,50,0.76,0.84,620.2894736842105,8.526020019999974,42.356785820000006
1,20,1,50,0.72,0.82,710.0,8.566414280000025,41.31319327999998
1,20,2,50,0.6,0.66,512.3,8.666338439999981,41.057199239999974
1,20,3,50,0.56,0.66,444.5357142857143,8.39819499999999,41.69572009999995
1,30,0,50,0.88,0.98,390.54545454545456,10.768210040000044,43.29274086000006
1,30,1,50,0.8,0.9,511.975,10.261972520000029,43.98285588000001
1,30,2,50,0.8,0.86,610.1,10.054835879999953,41.70272993999998
1,30,3,50,0.8,0.96,312.3,10.300120020000048,41.828803339999965
1,50,0,50,0.86,0.96,307.9767441860465,10.617489960000057,42.51664248000003
1,50,1,50,0.88,0.98,307.84090909090907,10.749595820000033,45.815054960000104
1,50,2,50,0.76,0.98,235.1315789473684,9.894294179999967,42.57791757999998
1,50,3,50,0.84,0.96,359.3809523809524,10.473540839999949,41.95931845999989
2,20,0,50,0.42,0.62,4945.0,9.33402743999995,48.687742539999945
2,20,2,50,0.3,0.52,5557.333333333333,8.56216668,43.811167579999946
2,30,0,50,0.64,0.8,3313.765625,10.10612745999989,43.083641660000076
2,30,2,50,0.56,0.8,3453.6785714285716,9.829226639999966,45.911830900000126
2,50,0,50,0.72,0.9,3155.1111111111113,10.825875900000135,43.63073332000009
2,50,2,50,0.82,0.92,1895.9878048780488,11.242838279999921,43.406915939999884
