genome_idx,true_bp_num,noise_lv,rh_ok,rh_pred_cand,m0,m1,m2,delta_1,delta_2,pred_bp_num,is_recombinant_true,is_recombinant_pred,correct_model,pred_bp1,ci1_left,ci1_right,pred_bp2,ci2_left,ci2_right,bp1_in_interval,bp2_in_interval,both_in_interval,spatial_err_bp1,spatial_err_bp2,mean_spatial_err_nt,runtime_ms
0,1,0,True,BA.2 + AY.45,73,84,83,11,-1,1,True,True,True,27839.0,27806.0,27872.0,,,,True,False,False,0.0,,0.0,2.15
1,1,0,True,BA.2 + AY.45,27,84,83,57,-1,1,True,True,True,19586.0,19219.0,19953.0,,,,True,False,False,0.0,,0.0,1.99
2,1,0,True,BA.2 + AY.45,5,84,83,79,-1,1,True,True,True,4251.0,4183.0,4319.0,,,,True,False,False,0.0,,0.0,1.95
3,1,0,True,BA.2 + AY.45,76,84,83,8,-1,1,True,True,True,28384.0,28310.0,28459.0,,,,True,False,False,0.0,,0.0,2.14
4,1,0,True,BA.2 + AY.45,37,84,83,47,-1,1,True,True,True,22730.0,22687.0,22773.0,,,,True,False,False,0.0,,0.0,1.96
5,1,0,True,BA.2 + AY.45,74,84,83,10,-1,1,True,True,True,28071.0,27873.0,28269.0,,,,True,False,False,0.0,,0.0,1.99
6,1,0,True,BA.2 + AY.45,48,84,83,36,-1,1,True,True,True,23298.0,23074.0,23523.0,,,,True,False,False,0.0,,0.0,2.01
7,1,0,True,BA.2 + AY.45,56,84,83,28,-1,1,True,True,True,24733.0,24468.0,24998.0,,,,True,False,False,0.0,,0.0,1.96
8,1,0,True,BA.2 + AY.45,39,84,83,45,-1,1,True,True,True,22798.0,22785.0,22811.0,,,,True,False,False,0.0,,0.0,1.92
9,1,0,True,BA.2 + AY.45,35,84,83,49,-1,1,True,True,True,22681.0,22678.0,22684.0,,,,True,False,False,0.0,,0.0,1.91
10,1,0,True,BA.2 + AY.45,74,84,83,10,-1,1,True,True,True,28071.0,27873.0,28269.0,,,,True,False,False,0.0,,0.0,1.95
11,1,0,True,BA.2 + AY.45,14,84,83,70,-1,1,True,True,True,10030.0,9865.0,10196.0,,,,True,False,False,0.0,,0.0,1.87
12,1,0,True,BA.2 + AY.45,57,84,83,27,-1,1,True,True,True,25205.0,24999.0,25411.0,,,,True,False,False,0.0,,0.0,1.95
13,1,0,True,BA.2 + AY.45,60,84,83,24,-1,1,True,True,True,25820.0,25583.0,26058.0,,,,True,False,False,0.0,,0.0,1.95
14,1,0,True,BA.2 + AY.45,45,84,83,39,-1,1,True,True,True,23046.0,23039.0,23053.0,,,,True,False,False,0.0,,0.0,2.02
15,1,0,True,BA.2 + AY.45,47,84,83,37,-1,1,True,True,True,23068.0,23062.0,23073.0,,,,True,False,False,0.0,,0.0,2.02
16,1,0,True,BA.2 + AY.45,7,84,83,77,-1,1,True,True,True,6762.0,6401.0,7122.0,,,,True,False,False,0.0,,0.0,1.92
17,1,0,True,BA.2 + AY.45,20,84,83,64,-1,1,True,True,True,13344.0,12879.0,13810.0,,,,True,False,False,0.0,,0.0,1.94
18,1,0,True,BA.2 + AY.45,66,84,83,18,-1,1,True,True,True,27057.0,26857.0,27257.0,,,,True,False,False,0.0,,0.0,1.99
19,1,0,True,BA.2 + AY.45,14,84,83,70,-1,1,True,True,True,10030.0,9865.0,10196.0,,,,True,False,False,0.0,,0.0,1.96
20,1,0,True,BA.2 + AY.45,58,84,83,26,-1,1,True,True,True,25440.0,25412.0,25467.0,,,,True,False,False,0.0,,0.0,1.94
21,1,0,True,BA.2 + AY.45,20,84,83,64,-1,1,True,True,True,13344.0,12879.0,13810.0,,,,True,False,False,0.0,,0.0,1.93
22,1,0,True,BA.2 + AY.45,54,84,83,30,-1,1,True,True,True,24416.0,24409.0,24422.0,,,,True,False,False,0.0,,0.0,2.01
23,1,0,True,BA.2 + AY.45,71,84,83,13,-1,1,True,True,True,27694.0,27637.0,27750.0,,,,True,False,False,0.0,,0.0,1.97
24,1,0,True,BA.2 + AY.45,26,84,83,58,-1,1,True,True,True,18690.0,18162.0,19218.0,,,,True,False,False,0.0,,0.0,2.0
25,1,0,True,BA.2 + AY.45,5,84,83,79,-1,1,True,True,True,4251.0,4183.0,4319.0,,,,True,False,False,0.0,,0.0,1.97
26,1,0,True,BA.2 + AY.45,67,84,83,17,-1,1,True,True,True,27319.0,27258.0,27380.0,,,,True,False,False,0.0,,0.0,1.98
27,1,0,True,BA.2 + AY.45,80,84,83,4,-1,1,True,True,True,28898.0,28882.0,28914.0,,,,True,False,False,0.0,,0.0,1.97
