scenario_type,true_bp_num,noise_level,n_replicates,rhizaeon_sensitivity_pct,rhizaeon_fpr_pct,rhizaeon_spatial_accuracy_pct,rhizaeon_mean_spatial_err_nt,recombinhunt_fpr_pct,recombinhunt_sensitivity_pct,mean_runtime_ms
0BP_Null,0,1,500,,0.0,,,0.6,,2.12
0BP_Null,0,3,500,,0.0,,,1.0,,2.14
0BP_Null,0,5,500,,0.0,,,0.6,,2.18
0BP_Null,0,10,500,,0.0,,,1.2,,2.13
0BP_Null,0,15,500,,0.0,,,4.0,,2.28
0BP_Null,0,20,500,,0.0,,,5.2,,2.17
0BP_Null,0,30,500,,0.0,,,8.8,,2.08
1BP_Recombinant,1,0,500,100.0,,100.0,0.0,,100.0,1.99
1BP_Recombinant,1,3,500,100.0,,100.0,0.0,,99.8,2.0
1BP_Recombinant,1,5,500,100.0,,100.0,0.0,,99.8,2.03
1BP_Recombinant,1,10,500,100.0,,100.0,0.0,,99.4,2.13
1BP_Recombinant,1,15,500,100.0,,100.0,0.0,,97.0,2.17
1BP_Recombinant,1,20,500,100.0,,100.0,0.0,,96.8,2.22
1BP_Recombinant,1,30,500,100.0,,100.0,0.0,,92.8,2.21
2BP_Recombinant,2,0,500,99.8,,94.2,82.69,,99.0,2.22
2BP_Recombinant,2,3,500,99.8,,92.8,87.96,,98.0,2.23
2BP_Recombinant,2,5,500,99.6,,93.8,83.91,,98.0,2.24
2BP_Recombinant,2,10,500,99.8,,94.4,87.14,,95.6,2.25
2BP_Recombinant,2,15,500,99.8,,93.6,81.82,,93.4,2.25
2BP_Recombinant,2,20,500,99.8,,95.4,70.08,,86.0,2.23
2BP_Recombinant,2,30,500,99.8,,94.2,88.68,,78.8,2.29
