regime,cell_id,n_taxa,r_over_m,delta,nu,num_reps,num_recombinant,num_clonal,rhiz_sensitivity,rhiz_fpr,rhiz_mean_bps,rhiz_min_spatial_error,rhiz_mean_spatial_error,rhiz_acc_within_50nt,rhiz_acc_within_100nt,rhiz_acc_within_250nt,rhiz_time_ms
import_divergence,divergence_nu_0.005,20,1.0,1000.0,0.005,15,15,0,100.0,,14.6,0.8,10.99,98.47,99.61,100.0,603.8
import_divergence,divergence_nu_0.01,20,1.0,1000.0,0.01,15,15,0,100.0,,14.53,2.07,21.47,89.59,96.42,100.0,625.67
import_divergence,divergence_nu_0.03,20,1.0,1000.0,0.03,15,15,0,100.0,,9.47,11.27,57.88,69.81,84.25,95.28,670.58
import_divergence,divergence_nu_0.08,20,1.0,1000.0,0.08,15,15,0,93.33,,7.67,6.79,111.89,59.16,69.42,82.7,571.99
recombination_intensity,intensity_rm_0.0,20,0.0,1000.0,0.02,15,0,15,,26.67,0.33,,,,,,348.35
recombination_intensity,intensity_rm_0.1,20,0.1,1000.0,0.02,15,15,0,40.0,,2.13,694.5,1010.34,43.48,47.65,71.67,408.46
recombination_intensity,intensity_rm_0.5,20,0.5,1000.0,0.02,15,15,0,93.33,,6.67,5.79,69.22,71.06,84.01,91.36,588.54
recombination_intensity,intensity_rm_1.0,20,1.0,1000.0,0.02,15,15,0,100.0,,10.6,8.33,44.24,74.62,87.44,97.61,571.27
recombination_intensity,intensity_rm_10.0,20,10.0,1000.0,0.02,15,15,0,100.0,,97.07,0.0,4.95,100.0,100.0,100.0,644.11
recombination_intensity,intensity_rm_2.0,20,2.0,1000.0,0.02,15,15,0,100.0,,24.2,0.67,22.79,90.15,97.31,98.89,639.31
recombination_intensity,intensity_rm_5.0,20,5.0,1000.0,0.02,15,15,0,100.0,,51.4,0.07,11.29,96.59,99.37,100.0,663.73
taxon_scaling,taxon_scaling_n_10,10,1.0,1000.0,0.02,5,5,0,80.0,,7.4,2.0,39.27,78.93,95.0,95.0,409.37
taxon_scaling,taxon_scaling_n_100,100,1.0,1000.0,0.02,5,5,0,100.0,,26.2,1.2,36.09,85.15,91.06,97.5,5967.61
taxon_scaling,taxon_scaling_n_20,20,1.0,1000.0,0.02,5,5,0,100.0,,12.0,2.2,24.52,87.02,94.82,100.0,620.23
taxon_scaling,taxon_scaling_n_50,50,1.0,1000.0,0.02,5,5,0,100.0,,15.2,2.0,25.47,86.0,94.27,100.0,2006.27
tract_length,tract_length_d_1000,20,1.0,1000.0,0.02,15,15,0,100.0,,12.6,2.07,39.2,74.4,87.59,100.0,577.18
tract_length,tract_length_d_250,20,1.0,250.0,0.02,15,15,0,100.0,,23.6,0.67,16.6,93.38,98.16,100.0,639.44
tract_length,tract_length_d_2500,20,1.0,2500.0,0.02,15,15,0,93.33,,5.47,8.29,53.87,74.57,89.69,97.19,571.05
tract_length,tract_length_d_500,20,1.0,500.0,0.02,15,15,0,100.0,,17.2,2.6,31.66,83.19,93.21,99.56,597.15
tract_length,tract_length_d_5000,20,1.0,5000.0,0.02,15,15,0,86.67,,3.8,24.0,338.69,60.26,70.77,82.44,569.5
