experiment,donor_divergence,is_complete_ghost,rep_idx,detected,rec_matched,pwr_any,pwr_both,mae,max_z,runtime_ms
ghost,0.0,False,0,False,False,0.0,0.0,,0.0,19.364667000000058
ghost,0.0,False,1,True,True,1.0,1.0,2.0,4.017044892575363,32.77795900000014
ghost,0.0,False,2,True,True,1.0,1.0,13.0,4.651265172271522,33.36845900000007
ghost,0.0,False,3,True,True,1.0,0.0,15.0,3.1254628264575626,35.205625000000126
ghost,0.0,False,5,True,True,1.0,1.0,2.0,5.402157933402221,32.8051669999998
ghost,0.0,False,4,True,True,1.0,1.0,33.5,3.914295665849071,32.86579199999995
ghost,0.0,False,6,True,True,1.0,0.0,1.0,4.348861952298719,33.73054199999981
ghost,0.0,False,7,True,True,1.0,0.0,6.0,3.0119561031521624,33.098457999999994
ghost,0.0,False,8,True,True,1.0,0.0,10.0,2.63609838049949,34.14837500000001
ghost,0.0,False,9,True,True,1.0,0.0,0.0,2.7331515785133247,33.2317080000002
ghost,0.0,False,10,True,True,1.0,0.0,27.0,4.542322170334106,32.931791999999845
ghost,0.0,False,11,True,True,1.0,1.0,11.0,9.051695125100721,32.21304099999989
ghost,0.0,False,12,True,True,1.0,0.0,2.0,2.7764789334832107,35.250124999999684
ghost,0.0,False,13,False,False,0.0,0.0,,0.0,18.840125000000096
ghost,0.0,False,14,True,True,1.0,0.0,14.0,3.0094147395624398,35.01491699999981
ghost,0.0,False,15,True,True,1.0,0.0,10.0,2.5486639693491173,35.39779099999984
ghost,0.0,False,16,True,True,1.0,1.0,11.0,4.549369174233649,35.908709000000094
ghost,0.0,False,17,True,True,1.0,0.0,4.0,11.940481995410519,34.86479199999959
ghost,0.0,False,19,False,False,0.0,0.0,,0.0,19.803875000000026
ghost,0.0,False,18,True,True,1.0,0.0,18.0,5.7879384592161935,34.69666599999988
ghost,0.01,False,0,True,True,1.0,1.0,19.0,4.161526836081077,32.40941700000022
ghost,0.01,False,1,True,True,1.0,1.0,14.0,4.668544006797828,33.201249999999405
ghost,0.01,False,2,True,True,1.0,0.0,3.0,4.296730322241598,33.80916699999936
ghost,0.01,False,3,True,True,1.0,1.0,12.5,7.908213294336684,32.531125000000216
ghost,0.01,False,4,True,True,1.0,0.0,0.0,6.261527171318551,34.12387499999969
ghost,0.01,False,5,True,True,1.0,0.0,26.0,3.8170048269237533,34.45479099999993
ghost,0.01,False,6,True,True,1.0,0.0,8.0,10.099196456429102,37.86862499999977
ghost,0.01,False,7,True,True,1.0,1.0,15.0,3.573893625336725,37.193958999999666
ghost,0.01,False,8,True,True,1.0,1.0,15.5,4.199937220976818,35.19637499999995
ghost,0.01,False,9,True,True,1.0,1.0,26.0,4.069224918015185,36.0729580000001
ghost,0.01,False,11,True,True,1.0,1.0,4.0,5.14521802635311,34.314207999999624
ghost,0.01,False,10,False,False,0.0,0.0,,0.0,19.301957999999786
ghost,0.01,False,12,True,True,1.0,1.0,3.5,8.682367202774484,33.56099999999973
ghost,0.01,False,14,True,True,1.0,1.0,4.0,3.6215801295324983,37.87900000000022
ghost,0.01,False,13,True,True,1.0,1.0,1.5,7.295772272140867,37.023709000000515
ghost,0.01,False,15,True,True,1.0,0.0,0.0,8.049165344749282,37.81641699999927
ghost,0.01,False,16,True,True,1.0,0.0,23.0,2.7115348261403387,35.73029199999933
ghost,0.01,False,17,True,True,1.0,1.0,4.0,4.332408609625096,35.02195799999974
ghost,0.01,False,18,True,True,1.0,1.0,15.0,4.2901153836159756,35.437541000000294
ghost,0.01,False,19,True,True,1.0,1.0,14.5,3.403859289801212,36.11683300000035
ghost,0.03,False,0,True,True,1.0,0.0,53.5,2.874502304546726,35.12245800000002
ghost,0.03,False,1,True,True,1.0,0.0,6.0,4.657180911874036,36.027875000000265
ghost,0.03,False,2,True,True,1.0,1.0,8.5,7.903449521622958,34.56720899999954
ghost,0.03,False,3,True,True,1.0,0.0,34.0,4.876876006229955,37.47766600000002
ghost,0.03,False,4,True,True,1.0,0.0,21.0,6.884945939557435,35.49104199999942
ghost,0.03,False,5,True,True,1.0,1.0,6.5,4.2189901909899525,34.039124999999615
ghost,0.03,False,6,True,True,1.0,1.0,0.5,8.991008237533222,32.834666999999484
