experiment,N,divergence,is_null,rep_idx,detected,rec_matched,n_bps,pwr_any,pwr_both,mae,runtime_ms
scaling,5,0.02,False,2,False,False,0,0.0,0.0,,21.879624999999958
scaling,5,0.02,False,0,False,False,0,0.0,0.0,,22.265084000000044
scaling,5,0.02,False,1,False,False,0,0.0,0.0,,23.366459000000006
scaling,5,0.02,False,5,False,False,0,0.0,0.0,,15.434667000000069
scaling,5,0.02,False,3,True,True,1,1.0,0.0,3.0,29.88262499999994
scaling,5,0.02,False,4,True,True,1,1.0,0.0,28.0,29.426874999999963
scaling,5,0.02,False,6,False,False,0,0.0,0.0,,15.470082999999857
scaling,5,0.02,False,8,False,False,0,0.0,0.0,,15.897834
scaling,5,0.02,False,7,False,False,0,0.0,0.0,,16.385541000000003
scaling,5,0.02,False,9,False,False,0,0.0,0.0,,15.721749999999979
scaling,5,0.02,False,10,False,False,0,0.0,0.0,,14.836083000000055
scaling,5,0.02,False,11,False,False,0,0.0,0.0,,15.712667000000291
scaling,5,0.02,False,12,False,False,0,0.0,0.0,,15.689207999999955
scaling,5,0.02,False,14,False,False,0,0.0,0.0,,15.5070829999997
scaling,5,0.02,False,13,True,True,1,1.0,0.0,2.0,29.68925000000011
scaling,5,0.02,True,0,False,,0,0.0,0.0,,17.789333000000074
scaling,5,0.02,True,1,False,,0,0.0,0.0,,22.35850000000017
scaling,5,0.02,True,2,False,,0,0.0,0.0,,16.19983299999994
scaling,5,0.02,True,3,False,,0,0.0,0.0,,14.788583000000077
scaling,5,0.02,True,4,False,,0,0.0,0.0,,15.438665999999657
scaling,5,0.02,True,5,False,,0,0.0,0.0,,14.861874999999802
scaling,5,0.02,True,6,False,,0,0.0,0.0,,16.941875000000106
scaling,5,0.02,True,7,False,,0,0.0,0.0,,15.492583999999976
scaling,5,0.02,True,8,False,,0,0.0,0.0,,15.54241600000017
scaling,5,0.02,True,9,False,,0,0.0,0.0,,15.186292000000101
scaling,5,0.05,False,0,True,True,2,1.0,1.0,22.0,27.982832999999818
scaling,5,0.05,False,1,True,True,2,1.0,1.0,13.5,27.920958000000162
scaling,5,0.05,False,2,True,True,1,1.0,0.0,12.0,28.952874999999878
scaling,5,0.05,False,4,True,True,1,1.0,0.0,8.0,29.14354199999991
scaling,5,0.05,False,3,True,True,1,1.0,0.0,16.0,29.348917000000085
scaling,5,0.05,False,5,True,True,1,1.0,0.0,20.0,28.98383399999993
scaling,5,0.05,False,6,True,True,2,1.0,1.0,11.0,28.065624999999983
scaling,5,0.05,False,7,True,True,2,1.0,1.0,25.0,28.849166000000093
scaling,5,0.05,False,8,True,True,2,1.0,1.0,14.0,28.48670799999997
scaling,5,0.05,False,9,True,True,1,1.0,0.0,8.0,29.061834000000175
scaling,5,0.05,False,10,True,True,1,1.0,0.0,20.0,28.998666999999756
scaling,5,0.05,False,11,True,True,1,1.0,0.0,27.0,29.701250000000012
scaling,5,0.05,False,12,True,True,1,1.0,0.0,18.0,29.35979100000008
scaling,5,0.05,False,13,True,True,2,1.0,1.0,22.0,30.638042000000087
scaling,5,0.05,False,14,True,True,2,1.0,1.0,29.0,29.84808300000008
scaling,5,0.05,True,0,False,,0,0.0,0.0,,14.86283300000002
scaling,5,0.05,True,1,False,,0,0.0,0.0,,15.075208999999923
scaling,5,0.05,True,2,False,,0,0.0,0.0,,15.44954200000026
scaling,5,0.05,True,3,False,,0,0.0,0.0,,14.82829100000016
scaling,5,0.05,True,4,False,,0,0.0,0.0,,15.383125000000053
scaling,5,0.05,True,5,False,,0,0.0,0.0,,15.468999999999955
scaling,5,0.05,True,6,False,,0,0.0,0.0,,14.939834000000207
scaling,5,0.05,True,7,False,,0,0.0,0.0,,15.271000000000257
scaling,5,0.05,True,8,False,,0,0.0,0.0,,14.715874999999379
scaling,5,0.05,True,9,False,,0,0.0,0.0,,15.116416999999771
scaling,10,0.02,False,0,True,True,1,1.0,0.0,47.0,33.12362499999999
scaling,10,0.02,False,1,True,True,1,1.0,0.0,8.0,34.111375000000166
scaling,10,0.02,False,2,True,True,2,1.0,0.0,0.0,32.79641700000013
