N,divergence,null_fpr_pct,event_power_pct,dual_bp_power_pct,breakpoint_mae_nt,runtime_ms
5,0.02,0.0,20.0,0.0,11.0,19.81098893333333
5,0.05,0.0,100.0,46.666666666666664,17.7,29.022808333333334
10,0.02,10.0,93.33333333333333,20.0,27.035714285714285,34.8884666666665
10,0.05,0.0,100.0,80.0,11.233333333333333,33.47152760000007
20,0.02,0.0,53.333333333333336,13.333333333333334,17.5625,37.36223326666655
20,0.05,0.0,100.0,93.33333333333333,14.1,46.769980666666434
50,0.02,0.0,73.33333333333333,33.33333333333333,20.136363636363637,132.3290998666669
50,0.05,10.0,100.0,86.66666666666667,15.433333333333334,157.34483060000005
100,0.02,0.0,40.0,6.666666666666667,20.75,445.2322277333326
100,0.05,0.0,100.0,73.33333333333333,17.9,607.9611221333333
