Dimension,Scenario,Method,N_Datasets,Is_Null,Power_Pct,FPR_Pct,MAE_Codons,Exact_Pct,Within_1Codon_Pct,Within_3Codon_Pct,Taxon_Accuracy_Pct,Runtime_ms
Dimension D: Topological Difficulty,deep_inter_clade,rhizaeon_embed_contextual,50,False,100.0,,3.88,22.0,38.0,56.00000000000001,100.0,703.8527699599974
Dimension D: Topological Difficulty,deep_inter_clade,rhizaeon_embed_static,50,False,100.0,,4.42,22.0,38.0,60.0,100.0,103.27829006000478
Dimension D: Topological Difficulty,deep_inter_clade,rhizaeon_scalar,50,False,100.0,,9.22,22.0,36.0,54.0,98.0,74.31196588000428
Dimension D: Topological Difficulty,deep_inter_clade,three_seq,50,False,6.0,,0.6666666666666666,2.0,6.0,6.0,2.0,160.91613422000623
Dimension B: Divergence Spectrum,div_deep,rhizaeon_embed_contextual,50,False,98.0,,2.7346938775510203,24.0,57.99999999999999,76.0,98.0,457.02534588000054
Dimension B: Divergence Spectrum,div_deep,rhizaeon_embed_static,50,False,98.0,,2.6122448979591835,26.0,60.0,78.0,98.0,59.798886759998915
Dimension B: Divergence Spectrum,div_deep,rhizaeon_scalar,50,False,100.0,,1.78,28.000000000000004,66.0,84.0,100.0,40.65570498000206
Dimension B: Divergence Spectrum,div_deep,three_seq,50,False,0.0,,,0.0,0.0,0.0,0.0,135.40868585999803
Dimension B: Divergence Spectrum,div_medium,rhizaeon_embed_contextual,50,False,100.0,,4.32,14.000000000000002,30.0,52.0,100.0,456.49421252000167
Dimension B: Divergence Spectrum,div_medium,rhizaeon_embed_static,50,False,100.0,,4.5,16.0,32.0,54.0,100.0,59.24465747999643
Dimension B: Divergence Spectrum,div_medium,rhizaeon_scalar,50,False,100.0,,3.78,20.0,36.0,54.0,100.0,43.64175838000208
Dimension B: Divergence Spectrum,div_medium,three_seq,50,False,8.0,,1.0,4.0,4.0,8.0,4.0,93.26369675999956
Dimension B: Divergence Spectrum,div_shallow,rhizaeon_embed_contextual,50,False,0.0,,,0.0,0.0,0.0,0.0,444.1270208000047
Dimension B: Divergence Spectrum,div_shallow,rhizaeon_embed_static,50,False,0.0,,,0.0,0.0,0.0,0.0,44.37684997999905
Dimension B: Divergence Spectrum,div_shallow,rhizaeon_scalar,50,False,98.0,,41.08163265306123,2.0,2.0,16.0,74.0,55.47611664000067
Dimension B: Divergence Spectrum,div_shallow,three_seq,50,False,78.0,,15.435897435897436,0.0,4.0,18.0,48.0,50.86287914000047
Dimension B: Divergence Spectrum,div_ultra_deep,rhizaeon_embed_contextual,50,False,84.0,,1.8095238095238095,28.000000000000004,44.0,72.0,84.0,454.78558169999786
Dimension B: Divergence Spectrum,div_ultra_deep,rhizaeon_embed_static,50,False,84.0,,1.7380952380952381,30.0,46.0,74.0,84.0,57.746056619999635
Dimension B: Divergence Spectrum,div_ultra_deep,rhizaeon_scalar,50,False,100.0,,1.92,34.0,62.0,88.0,100.0,40.69860751999724
Dimension B: Divergence Spectrum,div_ultra_deep,three_seq,50,False,6.0,,2.6666666666666665,0.0,2.0,4.0,0.0,157.70820413999994
Dimension B: Divergence Spectrum,div_ultra_shallow,rhizaeon_embed_contextual,50,False,0.0,,,0.0,0.0,0.0,0.0,431.90560744000226
Dimension B: Divergence Spectrum,div_ultra_shallow,rhizaeon_embed_static,50,False,0.0,,,0.0,0.0,0.0,0.0,43.37628328000018
Dimension B: Divergence Spectrum,div_ultra_shallow,rhizaeon_scalar,50,False,4.0,,125.5,0.0,0.0,0.0,2.0,24.384703279998785
Dimension B: Divergence Spectrum,div_ultra_shallow,three_seq,50,False,0.0,,,0.0,0.0,0.0,0.0,30.204826679998956
