Constellation,Count,Percentage
AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,1035,14.67
AM1-EA-AM1-AM1-AM1-AM1-AM1-AM1,948,13.44
EA-AM2-AM2-AM2-EA-AM2-AM2-AM2,893,12.66
AM1-AM2-AM2-AM2-EA-AM2-AM2-AM2,549,7.78
EA-EA-AM1-AM1-AM1-AM1-AM1-AM1,515,7.3
AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,457,6.48
AM1-AM1-AM2-AM2-AM1-AM2-AM2-AM1,438,6.21
EA-EA-EA-AM2-EA-AM2-AM2-AM2,424,6.01
AM1-AM1-AM1-AM1-AM1-AM1-AM2-AM1,340,4.82
EA-EA-AM2-AM2-EA-AM2-AM2-AM2,294,4.17
EA-EA-EA-EA-EA-EA-EA-EA,213,3.02
AM1-AM2-AM2-AM2-AM1-AM2-AM2-AM2,205,2.91
AM1-EA-AM1-AM1-EA-AM1-AM1-AM1,197,2.79
AM2-AM2-AM2-AM2-AM2-AM1-AM2-AM2,100,1.42
EA-AM2-AM2-AM2-EA-AM2-AM2-AM1,80,1.13
EA-EA-EA-EA-EA-AM2-AM2-AM2,51,0.72
EA-EA-AM1-AM1-EA-AM1-AM1-AM1,45,0.64
AM2-AM2-AM2-AM2-AM1-AM2-AM2-AM2,32,0.45
EA-EA-AM2-AM2-AM2-AM2-AM2-AM2,28,0.4
AM1-AM1-AM1-AM2-AM1-AM1-AM2-AM1,22,0.31
AM1-AM1-AM2-AM2-AM1-AM1-AM2-AM1,19,0.27
EA-AM2-AM2-AM2-EA-AM1-AM2-AM2,15,0.21
AM1-EA-AM2-AM2-AM1-AM2-AM2-AM1,12,0.17
AM2-EA-AM2-AM2-AM2-AM1-AM2-AM2,12,0.17
EA-AM2-AM2-AM2-EA-AM1-AM2-AM1,9,0.13
EA-EA-EA-AM2-EA-AM2-AM2-EA,9,0.13
AM1-AM2-AM2-AM2-EA-AM1-AM2-AM2,8,0.11
AM2-AM1-AM2-AM2-AM2-AM1-AM2-AM2,7,0.1
AM2-AM2-AM2-AM2-EA-AM2-AM2-AM2,7,0.1
EA-EA-EA-AM2-EA-AM1-AM2-AM2,7,0.1
AM2-EA-AM2-AM2-AM2-AM2-AM2-AM2,5,0.07
EA-EA-EA-AM2-EA-AM1-AM2-EA,5,0.07
AM1-EA-AM2-AM2-EA-AM2-AM2-AM1,5,0.07
AM1-AM1-AM2-AM2-AM1-AM2-AM2-AM2,5,0.07
AM1-EA-EA-AM1-AM1-AM1-AM2-AM1,4,0.06
EA-AM1-AM1-AM2-EA-AM2-AM2-AM2,3,0.04
AM1-AM1-AM1-AM2-AM1-AM2-AM1-AM1,3,0.04
AM1-AM1-AM2-AM2-AM1-AM2-EA-AM1,3,0.04
AM1-AM2-AM2-AM2-AM2-AM2-AM2-AM2,3,0.04
EA-EA-AM1-AM1-AM1-AM1-AM2-AM1,3,0.04
AM1-AM1-AM2-AM1-AM1-AM1-AM2-AM1,2,0.03
AM1-AM2-AM2-AM2-EA-AM2-AM2-AM1,2,0.03
AM1-AM1-AM2-AM1-AM1-AM1-AM1-AM1,2,0.03
AM1-EA-AM2-AM2-EA-AM2-AM2-AM2,2,0.03
EA-AM2-AM2-AM2-AM1-AM2-AM2-AM2,2,0.03
AM1-EA-AM1-AM2-AM1-AM2-AM2-AM1,2,0.03
AM1-AM2-AM2-AM2-AM1-AM1-AM2-AM2,2,0.03
EA-AM1-AM1-AM1-AM1-AM1-AM1-AM1,2,0.03
EA-AM1-AM1-AM1-AM1-AM1-EA-AM1,1,0.01
AM1-AM1-AM1-AM2-EA-AM1-AM2-AM1,1,0.01
AM1-AM1-AM1-AM2-AM1-AM1-AM1-AM1,1,0.01
EA-EA-EA-EA-EA-EA-EA-AM2,1,0.01
EA-AM1-AM1-AM1-EA-AM1-AM1-AM1,1,0.01
AM2-AM2-AM2-AM2-AM2-AM1-AM2-EA,1,0.01
AM1-AM1-AM1-AM1-AM1-AM2-AM2-AM1,1,0.01
AM1-EA-AM1-AM2-EA-AM1-AM1-AM1,1,0.01
AM1-EA-AM1-AM2-AM1-AM1-AM1-AM1,1,0.01
EA-AM1-AM2-AM2-EA-AM2-AM2-AM2,1,0.01
EA-AM2-EA-AM2-EA-AM2-AM2-AM2,1,0.01
EA-EA-EA-EA-EA-AM2-AM2-EA,1,0.01
EA-EA-AM1-AM2-AM2-AM1-AM2-AM1,1,0.01
AM1-EA-EA-AM2-AM1-AM2-AM2-AM1,1,0.01
EA-EA-AM2-AM2-AM1-AM2-AM2-AM1,1,0.01
EA-AM2-AM2-AM2-AM1-AM2-AM2-AM1,1,0.01
AM1-AM2-AM2-AM2-AM1-AM2-AM2-AM1,1,0.01
AM1-AM1-AM1-AM1-AM1-AM1-EA-AM1,1,0.01
AM2-AM1-AM2-AM2-AM2-AM2-AM2-AM2,1,0.01
AM1-EA-EA-EA-EA-AM2-AM2-AM2,1,0.01
EA-AM2-AM2-AM2-AM2-AM2-AM2-AM2,1,0.01
AM1-AM1-AM2-AM2-AM2-AM2-AM2-AM1,1,0.01
AM1-AM1-EA-AM2-EA-AM2-AM2-AM2,1,0.01
AM1-AM1-AM1-AM1-EA-AM1-AM2-AM1,1,0.01
AM1-AM2-AM1-AM1-AM1-AM1-AM2-AM1,1,0.01
EA-EA-EA-EA-AM1-EA-EA-AM1,1,0.01
AM2-EA-AM2-AM2-EA-AM2-AM2-AM2,1,0.01
AM1-AM1-AM2-AM2-EA-AM2-AM2-AM2,1,0.01
