Host_Group,Total_Genomes,Distinct_Genotypes,Dominant_Genotype,Dominant_Prevalence
Bear,4,2,AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,3/4 (75.0%)
Bovine,15,1,AM1-EA-AM1-AM1-AM1-AM1-AM1-AM1,15/15 (100.0%)
Cat,10,3,AM1-EA-AM1-AM1-AM1-AM1-AM1-AM1,6/10 (60.0%)
Fox,10,5,AM1-AM1-AM2-AM2-AM1-AM2-AM2-AM1,3/10 (30.0%)
Human,2,1,AM1-EA-AM1-AM1-AM1-AM1-AM1-AM1,2/2 (100.0%)
Marine_Mammal,12,2,AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,7/12 (58.3%)
Poultry,12,8,AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,4/12 (33.3%)
Raptor,12,6,EA-EA-AM2-AM2-EA-AM2-AM2-AM2,4/12 (33.3%)
Seabird_Shorebird,12,7,AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,3/12 (25.0%)
Skunk,10,6,AM1-AM1-AM1-AM1-AM1-AM1-AM2-AM1,3/10 (30.0%)
Waterfowl,22,13,AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,3/22 (13.6%)
