Strain,Host_Group,Constellation,PB2,PB1,PA,HA,NP,NA,MP,NS
A/goose/Virginia/W22-773/2022,Waterfowl,EA-EA-EA-EA-EA-EA-EA-EA,EA,EA,EA,EA,EA,EA,EA,EA
A/blue-winged_teal/Texas/UGAI22-2961/2022,Waterfowl,AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1
A/American_Wigeon/North_Carolina/USDA-001330-028/2022,Waterfowl,AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2
A/dairy_cow/USA/24_019691-004/2024,Bovine,AM1-EA-AM1-AM1-AM1-AM1-AM1-AM1,AM1,EA,AM1,AM1,AM1,AM1,AM1,AM1
A/Texas/37/2024,Human,AM1-EA-AM1-AM1-AM1-AM1-AM1-AM1,AM1,EA,AM1,AM1,AM1,AM1,AM1,AM1
A/Michigan/90/2024,Human,AM1-EA-AM1-AM1-AM1-AM1-AM1-AM1,AM1,EA,AM1,AM1,AM1,AM1,AM1,AM1
A/Black_Bear/QC/FAV-0935/2022,Bear,AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2
A/polar_bear/Alaska/23-038123/2023,Bear,AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2
A/Black_Bear/QC/FAV-0902/2022,Bear,AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2
A/black_bear/Alaska/22-036396-001/2022,Bear,AM1-AM2-AM2-AM2-EA-AM2-AM2-AM2,AM1,AM2,AM2,AM2,EA,AM2,AM2,AM2
A/sea_lion/Peru/TAC-INS-011/2023,Marine_Mammal,AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1
A/harbor_seal/Maine/MME-150-L/2022,Marine_Mammal,AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2
A/harbor_seal/Maine/MME-150-ns/2022,Marine_Mammal,AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2
A/harbor_seal/Maine/MME-185-ns/2022,Marine_Mammal,AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2
A/sea_lion/Arica_y_Parinacota/240270-1/2023,Marine_Mammal,AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1
A/south_american_sea_lion/Peru/AQP-SER00K/2023,Marine_Mammal,AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1
A/South_American_Sea_Lion/Peru/LIM-SER036/2023,Marine_Mammal,AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1
A/harbor_seal/Maine/22-020455-003/2022,Marine_Mammal,AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2
A/South_American_sea_lion/Argentina/RN-PB013/2023,Marine_Mammal,AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1
A/Sea_Lion/Peru/LIM-SER036/2023,Marine_Mammal,AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1
A/South_American_sea_lion/Argentina/RN-PB007/2023,Marine_Mammal,AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1
A/harbor_seal/Maine/MME-147-L/2022,Marine_Mammal,AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2
A/cat/USA/24-020793-001/2024,Cat,AM1-EA-AM1-AM1-AM1-AM1-AM1-AM1,AM1,EA,AM1,AM1,AM1,AM1,AM1,AM1
A/cat/Idaho/24-013710-004/2024,Cat,AM1-EA-AM1-AM1-EA-AM1-AM1-AM1,AM1,EA,AM1,AM1,EA,AM1,AM1,AM1
A/blackish_oystercatcher/OHiggins/240628/2023,Cat,AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1
A/cat/USA/24-011659-003/2024,Cat,AM1-EA-AM1-AM1-AM1-AM1-AM1-AM1,AM1,EA,AM1,AM1,AM1,AM1,AM1,AM1
A/cat/USA/24-012168-002/2024,Cat,AM1-EA-AM1-AM1-AM1-AM1-AM1-AM1,AM1,EA,AM1,AM1,AM1,AM1,AM1,AM1
A/Sterna_hirundo/Santa_Catarina/2261-N/2023,Cat,AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1
A/cat/USA/24-010948-001/2024,Cat,AM1-EA-AM1-AM1-AM1-AM1-AM1-AM1,AM1,EA,AM1,AM1,AM1,AM1,AM1,AM1
A/domestic_cat/Texas/062222-24-1-4/2024,Cat,AM1-EA-AM1-AM1-AM1-AM1-AM1-AM1,AM1,EA,AM1,AM1,AM1,AM1,AM1,AM1
A/cat/New_Mexico/24-012046-002/2024,Cat,AM1-EA-AM1-AM1-AM1-AM1-AM1-AM1,AM1,EA,AM1,AM1,AM1,AM1,AM1,AM1
A/cat/Idaho/24-013710-005/2024,Cat,AM1-EA-AM1-AM1-EA-AM1-AM1-AM1,AM1,EA,AM1,AM1,EA,AM1,AM1,AM1
A/skunk/Washington/24_005959-001/2024,Skunk,EA-EA-AM1-AM1-AM1-AM1-AM1-AM1,EA,EA,AM1,AM1,AM1,AM1,AM1,AM1
A/skunk/Idaho/22-023547-001/2022,Skunk,AM1-AM1-AM1-AM1-AM1-AM1-AM2-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM2,AM1
A/skunk/Washington/22-019274-001/2022,Skunk,AM1-AM1-AM1-AM1-AM1-AM1-AM2-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM2,AM1
A/skunk/Washington/24_005959-004/2024,Skunk,EA-EA-AM1-AM1-AM1-AM1-AM1-AM1,EA,EA,AM1,AM1,AM1,AM1,AM1,AM1
A/Striped_Skunk/AB/FAV-1509-3/2022,Skunk,AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1
A/Striped_Skunk/ON/FAV-1194-1/2022,Skunk,EA-EA-EA-EA-EA-EA-EA-EA,EA,EA,EA,EA,EA,EA,EA,EA
A/Skunk/AB/FAV-0416-02/2022,Skunk,AM1-AM2-AM2-AM2-AM1-AM2-AM2-AM2,AM1,AM2,AM2,AM2,AM1,AM2,AM2,AM2
A/skunk/Washington/22-019274-004/2022,Skunk,AM1-AM1-AM1-AM1-AM1-AM1-AM2-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM2,AM1
A/Skunk/AB/FAV-0835-10/2022,Skunk,AM1-AM2-AM2-AM2-EA-AM2-AM2-AM2,AM1,AM2,AM2,AM2,EA,AM2,AM2,AM2
A/Striped_Skunk/QC/FAV-0071-1/2022,Skunk,EA-EA-EA-EA-EA-EA-EA-EA,EA,EA,EA,EA,EA,EA,EA,EA
A/fox/Iowa/22-014421-001/2022,Fox,AM1-AM1-AM2-AM2-AM1-AM2-AM2-AM1,AM1,AM1,AM2,AM2,AM1,AM2,AM2,AM1
