n_bps,d,m,rep_idx,seed,is_recombinant,true_bps_count,true_bps,rhizaeon_detected,rhizaeon_num_bps,rhizaeon_bps,rhizaeon_spatial_err_nt,rhizaeon_runtime_ms,three_seq_detected,three_seq_p,three_seq_runtime_ms
1,10,0,5,20230836,True,1,5835,False,0,,,2.144790999999868,False,1.0,70.48079200000012
1,10,0,7,20230838,True,1,27303,False,0,,,3.1751669999999788,False,1.0,71.04933400000002
1,10,0,2,20230833,True,1,28082,False,0,,,3.5009589999999147,False,1.0,72.46320899999992
1,10,0,6,20230837,True,1,6794,False,0,,,3.524874999999872,False,1.0,73.22833399999995
1,10,0,1,20230832,True,1,23351,False,0,,,3.4634580000001414,False,1.0,73.17549999999984
1,10,0,4,20230835,True,1,23204,True,1,23480,276.0,5.705207999999962,False,1.0,73.783583
1,10,0,3,20230834,True,1,17838,False,0,,,2.468625000000113,False,1.0,77.13583300000005
1,10,0,0,20230831,True,1,24070,False,0,,,3.194666999999818,False,1.0,76.86708300000001
1,10,0,8,20230839,True,1,12050,False,0,,,2.998665999999872,False,1.0,39.15795800000011
1,10,0,10,20230841,True,1,21473,False,0,,,3.699957999999892,False,1.0,56.58212500000004
1,10,0,14,20230845,True,1,13065,False,0,,,2.5842500000001767,False,1.0,59.174375
1,10,0,9,20230840,True,1,14033,True,1,14730,697.0,6.661875000000039,False,1.0,59.80974999999988
1,10,0,13,20230844,True,1,3546,False,0,,,4.24770799999985,False,1.0,59.29695800000001
1,10,0,11,20230842,True,1,16783,True,1,18730,1947.0,5.475458000000044,False,1.0,59.61454200000005
1,10,0,15,20230846,True,1,23059,False,0,,,3.7751669999999127,False,1.0,61.30358299999994
1,10,0,12,20230843,True,1,17483,True,1,18730,1247.0,6.2749170000000465,False,1.0,61.23970899999986
1,10,0,16,20230847,True,1,19073,True,1,18936,137.0,8.101583999999828,False,1.0,38.47074999999989
1,10,0,17,20230848,True,1,8967,False,0,,,5.294791000000076,False,1.0,47.27041700000001
1,10,0,19,20230850,True,1,25277,False,0,,,3.3918339999998715,False,1.0,52.45549999999999
1,10,0,21,20230852,True,1,6580,False,0,,,2.756124999999887,False,1.0,52.81849999999988
1,10,0,18,20230849,True,1,23214,False,0,,,4.520582999999911,False,1.0,55.26995800000001
1,10,0,23,20230854,True,1,16576,True,1,18289,1713.0,5.905459000000057,False,1.0,51.531416999999855
1,10,0,20,20230851,True,1,17707,True,1,18143,436.0,5.8053750000000015,False,1.0,53.21866699999988
1,10,0,22,20230853,True,1,27862,False,0,,,3.6779579999999257,False,1.0,55.317416000000065
1,10,0,24,20230855,True,1,23658,False,0,,,4.447040999999929,False,1.0,38.383375
1,10,0,25,20230856,True,1,27097,False,0,,,4.023125000000016,False,1.0,36.359167000000085
1,10,0,26,20230857,True,1,13012,False,0,,,4.251958,False,1.0,42.95950000000004
1,10,0,27,20230858,True,1,18549,False,0,,,3.9357499999999046,False,1.0,50.43133399999999
1,10,0,28,20230859,True,1,24501,False,0,,,3.377541000000095,False,1.0,52.44133400000006
1,10,0,31,20230862,True,1,2999,False,0,,,4.307499999999909,False,1.0,49.713375000000056
1,10,0,29,20230860,True,1,25345,False,0,,,3.751250000000095,False,1.0,52.079041000000046
1,10,0,30,20230861,True,1,16890,True,1,17230,340.0,5.959875000000059,False,1.0,50.229624999999835
1,10,0,32,20230863,True,1,8724,True,1,9162,438.0,6.757667000000023,False,1.0,45.10637500000003
