Strain,Host_Group,Constellation,PB2,PB1,PA,HA,NP,NA,MP,NS
A/Black_Bear/QC/FAV-0935/2022,Bear,AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2
A/polar_bear/Alaska/23-038123/2023,Bear,AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2
A/Black_Bear/QC/FAV-0902/2022,Bear,AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2
A/black_bear/Alaska/22-036396-001/2022,Bear,AM1-AM2-AM2-AM2-EA-AM2-AM2-AM2,AM1,AM2,AM2,AM2,EA,AM2,AM2,AM2
A/sea_lion/Peru/TAC-INS-011/2023,Marine_Mammal,AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1
A/harbor_seal/Maine/MME-150-L/2022,Marine_Mammal,AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2
A/harbor_seal/Maine/MME-150-ns/2022,Marine_Mammal,AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2
A/harbor_seal/Maine/MME-185-ns/2022,Marine_Mammal,AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2
A/sea_lion/Arica_y_Parinacota/240270-1/2023,Marine_Mammal,AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1
A/south_american_sea_lion/Peru/AQP-SER00K/2023,Marine_Mammal,AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1
A/South_American_Sea_Lion/Peru/LIM-SER036/2023,Marine_Mammal,AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1
A/harbor_seal/Maine/22-020455-003/2022,Marine_Mammal,AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2
A/South_American_sea_lion/Argentina/RN-PB013/2023,Marine_Mammal,AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1
A/Sea_Lion/Peru/LIM-SER036/2023,Marine_Mammal,AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1
A/South_American_sea_lion/Argentina/RN-PB007/2023,Marine_Mammal,AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1
A/harbor_seal/Maine/MME-147-L/2022,Marine_Mammal,AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2
A/cat/Idaho/24-013710-004/2024,Cat,AM1-EA-AM1-AM1-EA-AM1-AM1-AM1,AM1,EA,AM1,AM1,EA,AM1,AM1,AM1
A/blackish_oystercatcher/OHiggins/240628/2023,Cat,AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1
A/Sterna_hirundo/Santa_Catarina/2261-N/2023,Cat,AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1
A/cat/Idaho/24-013710-005/2024,Cat,AM1-EA-AM1-AM1-EA-AM1-AM1-AM1,AM1,EA,AM1,AM1,EA,AM1,AM1,AM1
A/skunk/Washington/24_005959-001/2024,Skunk,EA-EA-AM1-AM1-AM1-AM1-AM1-AM1,EA,EA,AM1,AM1,AM1,AM1,AM1,AM1
A/skunk/Idaho/22-023547-001/2022,Skunk,AM1-AM1-AM1-AM1-AM1-AM1-AM2-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM2,AM1
A/skunk/Washington/22-019274-001/2022,Skunk,AM1-AM1-AM1-AM1-AM1-AM1-AM2-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM2,AM1
